Entry_ID,Category,Label,Variations,Exclude,Note
audience_anchor_patient_anchor_001,audience_anchor,patient_anchor,"i have|my symptoms|i'm having|since my surgery|after my bypass|my sleeve|post-op i|dx'd with|diagnosed with|my sugar crashes|ever since surgery|anyone else have?|after eating i|had my|my doctor told me|dealing with",,Patient voice indicator; technically different than in FETCH RULES; we can discuss if there is confusion
audience_anchor_hcp_anchor_002,audience_anchor,hcp_anchor,"my patient|in clinic|we see patients|presented with|we diagnose|in practice|our bariatric program|case of|we follow patients|managed a patient|treated with|our clinic|seeing cases|clinical experience",,HCP voice indicator; technically different than in FETCH RULES; we can discuss if there is confusion
companies_Amylyx_003,companies,Amylyx,Amylyx|amylyx pharma|amylyx pharmaceuticals|amylix,,Client company
companies_Novo_Nordisk_004,companies,Novo_Nordisk,Novo Nordisk|novo|novo nordic|maker of ozempic,novo restaurant,Major competitor
companies_Eli_Lilly_005,companies,Eli_Lilly,Eli Lilly|lilly|LLY|lilly pharma,lilly flower|lilly pad,GLP-1 manufacturer
companies_AstraZeneca_006,companies,AstraZeneca,AstraZeneca|AZ|astra zeneca,Arizona|az,Pharma competitor
companies_Boehringer_Ingelheim_007,companies,Boehringer_Ingelheim,Boehringer Ingelheim|BI|boehringer,,Pharma competitor
conditions_PBH_008,conditions,PBH,post-bariatric hypoglycemia|post bariatric hypoglycemia|PBH|postbariatric hypoglycemia|post-prandial hypoglycemia after surgery,,Canonical PBH mention
conditions_reactive_hypoglycemia_009,conditions,reactive_hypoglycemia,reactive hypoglycemia|postprandial hypoglycemia|RH,type 1|T1D,Likely PBH misattribution when in bariatric context
conditions_hypoglycemia_010,conditions,hypoglycemia,hypoglycemia|low blood sugar|sugar crash|glucose crash,type 1|T1D,Generic hypo in bariatric context → possible PBH
conditions_late_dumping_011,conditions,late_dumping,late dumping|late dumping syndrome|delayed dumping|postprandial dumping,garbage dumping|trash dumping|dumping boyfriend|dumping stock,
conditions_idiopathic_postprandial_syndrome_012,conditions,idiopathic_postprandial_syndrome,idiopathic_postprandial_syndrome|IPS,,
symptoms_shakiness_013,symptoms,shakiness,shaky|shaking|tremors|trembling|jittery|jitters|hands shaking|unsteady|wobbly|hands trembling|feeling shaky,protein shake|milkshake|earthquake,Most common PBH symptom
symptoms_dizziness_014,symptoms,dizziness,dizzy|lightheaded|light-headed|vertigo|woozy|spinning|off balance|unsteady,dizzy with excitement,Common symptom
symptoms_sweating_015,symptoms,sweating,sweaty|perspiration|clammy|cold sweats|diaphoretic|soaking sweat,sweaty palms (nervousness),Physical symptom
symptoms_hypoglycemia_016,symptoms,hypoglycemia,low blood sugar|sugar crash|glucose drop|hypo|going low|sugar low|lows in the 50s|lows in the 60s|glucose plummeted|BG dropped|blood sugar tanked,hypoglycemic medication,Core condition symptom
symptoms_brain_fog_017,symptoms,brain_fog,mental fog|foggy|confused|confusion|can't think|forgetful|spaced out|zoned out,confused about directions,Cognitive symptom
symptoms_tachycardia_018,symptoms,tachycardia,fast heartbeat|racing heart|heart racing|palpitations|pounding heart,race car|racing,Cardiovascular symptom
symptoms_fainting_019,symptoms,fainting,passed out|syncope|blacked out|lost consciousness|fainted|collapsed,passed out drunk,Severe symptom
symptoms_nausea_020,symptoms,nausea,nauseous|sick to stomach|queasy|throw up|vomiting|retching,morning sickness,GI symptom
symptoms_seizures_021,symptoms,seizures,seizure|convulsions|fit,,
symptoms_vision_changes_022,symptoms,vision_changes,blurred vision|double vision|can't see properly,,
symptoms_weakness_023,symptoms,weakness,weak|fatigue|tired|exhausted|no energy|lethargic|drained|wiped out,weak signal|weak wifi,Physical symptom
