Entry_ID,Category,Label,Variations,Exclude,Note
001,audience_anchor,patient_anchor,"i have | my symptoms | i'm having | since my surgery | after my bypass | my sleeve | post-op i | dx'd with | diagnosed with | my sugar crashes | ever since surgery | anyone else have? | after eating i | had my | my doctor told me | dealing with",,Patient voice indicator; technically different than in FETCH RULES; we can discuss if there is confusion
002,audience_anchor,hcp_anchor,"my patient | in clinic | we see patients | presented with | we diagnose | in practice | our bariatric program | case of | we follow patients | managed a patient | treated with | our clinic | seeing cases | clinical experience",,HCP voice indicator; technically different than in FETCH RULES; we can discuss if there is confusion
003,companies,Amylyx,Amylyx | amylyx pharma | amylyx pharmaceuticals | amylix,,Client company
004,companies,Novo_Nordisk,Novo Nordisk | novo | novo nordic | maker of ozempic,novo restaurant,Major competitor
005,companies,Eli_Lilly,Eli Lilly | lilly | LLY | lilly pharma,lilly flower | lilly pad,GLP-1 manufacturer
006,companies,AstraZeneca,AstraZeneca | AZ | astra zeneca,Arizona | az,Pharma competitor
007,companies,Boehringer_Ingelheim,Boehringer Ingelheim | BI | boehringer,,Pharma competitor
008,conditions,PBH,post-bariatric hypoglycemia | post bariatric hypoglycemia | PBH | postbariatric hypoglycemia | post-prandial hypoglycemia after surgery,,Canonical PBH mention
009,conditions,reactive_hypoglycemia,reactive hypoglycemia | postprandial hypoglycemia | RH,type 1 | T1D,Likely PBH misattribution when in bariatric context
010,conditions,hypoglycemia,hypoglycemia | low blood sugar | sugar crash | glucose crash,type 1 | T1D,Generic hypo in bariatric context → possible PBH
011,conditions,late_dumping,late dumping | late dumping syndrome | delayed dumping | postprandial dumping,garbage dumping | trash dumping | dumping boyfriend | dumping stock,
012,conditions,idiopathic_postprandial_syndrome,idiopathic_postprandial_syndrome | IPS,,
013,symptoms,shakiness,shaky | shaking | tremors | trembling | jittery | jitters | hands shaking | unsteady | wobbly | hands trembling | feeling shaky,protein shake | milkshake | earthquake,Most common PBH symptom
014,symptoms,dizziness,dizzy | lightheaded | light-headed | vertigo | woozy | spinning | off balance | unsteady,dizzy with excitement,Common symptom
015,symptoms,sweating,sweaty | perspiration | clammy | cold sweats | diaphoretic | soaking sweat,sweaty palms (nervousness),Physical symptom
016,symptoms,hypoglycemia,low blood sugar | sugar crash | glucose drop | hypo | going low | sugar low | lows in the 50s | lows in the 60s | glucose plummeted | BG dropped | blood sugar tanked,hypoglycemic medication,Core condition symptom
017,symptoms,brain_fog,mental fog | foggy | confused | confusion | can't think | forgetful | spaced out | zoned out,confused about directions,Cognitive symptom
018,symptoms,tachycardia,fast heartbeat | racing heart | heart racing | palpitations | pounding heart,race car | racing,Cardiovascular symptom
019,symptoms,fainting,passed out | syncope | blacked out | lost consciousness | fainted | collapsed,passed out drunk,Severe symptom
020,symptoms,nausea,nauseous | sick to stomach | queasy | throw up | vomiting | retching,morning sickness,GI symptom
021,symptoms,seizures,seizure | convulsions | fit,,
022,symptoms,vision+changes,blurred vision | double vision | can't see properly,,
023,symptoms,weakness,weak | fatigue | tired | exhausted | no energy | lethargic | drained | wiped out | super tired | really weak | feeling weak | totally drained | energy crashes,weak signal | weak wifi,Physical symptom
024,treatments,avexitide,avexitide | exendin(9-39) | exendin 9-39 | exendin-9-39,,Launch drug - PRIMARY (PBH_TREATMENTS group)
025,treatments,acarbose,acarbose | precose | glucobay | acarbase | acrobose | acarobose,,First-line PBH treatment (PBH_TREATMENTS group)
026,treatments,diazoxide,diazoxide | proglycem,,Second-line PBH treatment (PBH_TREATMENTS group)
027,treatments,octreotide,octreotide | sandostatin | sandostatin LAR | sandostatin injection | sandostatin long-acting,,Third-line PBH treatment (PBH_TREATMENTS group)
028,treatments,semaglutide,semaglutide | ozempic | wegovy | wegoivy | ozmpic,,GLP-1 treatment (GLP1_TREATMENTS group)
029,treatments,tirzepatide,tirzepatide | mounjaro | zepbound | mounjaro injection | tirzep,,GLP-1 treatment (GLP1_TREATMENTS group)
030,treatments,dulaglutide,dulaglutide | trulicity,,GLP-1 treatment (GLP1_TREATMENTS group)
031,treatments,liraglutide,liraglutide | victoza | saxenda,,GLP-1 treatment (GLP1_TREATMENTS group)
032,treatments,exenatide,exenatide | byetta | bydureon,,GLP-1 treatment (GLP1_TREATMENTS group)
033,treatments,sglt2_inhibitors,sodium-glucose contransporter-2 | sglt2 | inhibitors | empagliflozin | jardiance | dapagliflozin | farxiga | canagliflozin | invokana,,
034,topics,bariatric_surgery,"bariatric surgery | weight loss surgery | WLS | metabolic surgery | bariatric operation | weight-loss surgery | gastric bypass | roux-en-y | RNY | Rny | rny | RYGB | roux en y | Roux-en-Y Gastric Bypass | bypass surgery | sleeve | gastrectomy | gastricsleeve | VSG | vertical sleeve | vertical sleeve gastrectomy | mini gastric bypass | one-anastomosis gastric bypass | OAGB | lap band | lapband | gastric band | adjustable gastric band | duodenal switch | DS | biliopancreatic diversion | BPD/DS | SADI | SIPS | single anastomosis duodenal switch",,General bucket for all bariatric surgery mentions; use this rollup for relevance (bariatric_context) and theme mapping
035,topics,dietary_modification,"low carb | cut carbs | slow carb | no simple sugars | LC | low glycemic | low sugar | small meals | frequent meals | grazing | 6 small meals | meal timing | eating schedule | diet changes | diet modification | dietary changes | protein first | protein before carbs | protein anchor | start with protein | protein at every meal | fat before carbs | fat first | butter before carbs | peanut butter first | cornstarch | superstarch | uncooked cornstarch | UCAN | slow starch | extended-release starch",,general dietary signals are a topic but can be rolled up to treatments with cross reference to treatment_anchors; future state!
